,,total_adaptation_cost,total_avoided_damages_mean,bcr_mean,total_avoided_damages,bcr,total_avoided_damages_lower,total_avoided_damages_upper,bcr_lower,bcr_upper
baseline,lower bound,0.0,0.0,0.0,[0. 0.],0.0,0.0,0.0,0.0,0.0
baseline,mean,0.0,0.0,0.0,[0. 0.],0.0,0.0,0.0,0.0,0.0
baseline,upper bound,0.0,0.0,0.0,[0. 0.],0.0,0.0,0.0,0.0,0.0
l1_trib,lower bound,435.72718998922653,15.078564059388931,0.03460551557446243,[ 9.83528863 20.32183949],[0.02257213 0.04663891],9.835288626903797,20.321839491874066,0.02257212506556448,0.04663890608336039
l1_trib,mean,435.72718998922653,21.343258504233923,0.048983077013765516,[12.89444363 29.79207338],[0.02959293 0.06837323],12.894443627457846,29.79207338101,0.0295929286115394,0.06837322541599164
l1_trib,upper bound,435.72718998922653,27.082326076137406,0.06215431742234637,[15.70791748 38.45673467],[0.03604989 0.08825874],15.707917480960631,38.45673467131418,0.036049890486175566,0.08825874435851716
l2_trib,lower bound,1360.177564531098,91.73970898270689,0.06744686236192468,[ 80.37126244 103.10815553],[0.0590888  0.07580492],80.3712624376798,103.10815552773397,0.05908880173698988,0.07580492298685948
l2_trib,mean,1360.177564531098,117.46786598622356,0.08636215524310531,[101.15376819 133.78196379],[0.07436806 0.09835625],101.15376818733411,133.78196378511302,0.07436806107164799,0.09835624941456263
l2_trib,upper bound,1360.177564531098,141.08615274368978,0.10372627546781162,[120.23621759 161.9360879 ],[0.08839744 0.11905511],120.23621758971255,161.936087897667,0.08839744216128304,0.1190551087743402
l3_trib,lower bound,215.2658964828035,0.0,0.0,[0. 0.],[0. 0.],0.0,0.0,0.0,0.0
l3_trib,mean,215.2658964828035,0.0,0.0,[0. 0.],[0. 0.],0.0,0.0,0.0,0.0
l3_trib,upper bound,215.2658964828035,0.0,0.0,[0. 0.],[0. 0.],0.0,0.0,0.0,0.0
l4_trib,lower bound,0.0,22.574833550930002,0.0,[22.57483355 22.57483355],0.0,22.574833550930002,22.574833550930002,0.0,0.0
l4_trib,mean,0.0,27.70503439170446,0.0,[27.70503439 27.70503439],0.0,27.70503439170446,27.70503439170446,0.0,0.0
l4_trib,upper bound,0.0,32.401510638587496,0.0,[32.40151064 32.40151064],0.0,32.401510638587496,32.401510638587496,0.0,0.0
